measure,portname,n_overlap_days,n_changed_rows,pct_changed_rows,mean_july,mean_august,mean_ratio_august_over_july,mean_difference_august_minus_july
capacity_general_cargo,Torres Strait,2750,1,0.03636363636363636,3296.971636363636,3296.762909090909,0.9999366912137111,-0.20872727272717384
capacity_general_cargo,Yucatan Channel,2750,1,0.03636363636363636,20496.771272727274,20496.77090909091,0.9999999822588465,-0.00036363636536407284
capacity_general_cargo,Bering Strait,2750,0,0.0,1149.5705454545455,1149.5705454545455,1.0,0.0
capacity_general_cargo,Magellan Strait,2750,0,0.0,2503.9625454545453,2503.9625454545453,1.0,0.0
capacity_general_cargo,Makassar Strait,2750,0,0.0,7787.932363636363,7787.932363636363,1.0,0.0
capacity_general_cargo,Mona Passage,2750,0,0.0,8958.466909090908,8958.466909090908,1.0,0.0
capacity_general_cargo,Windward Passage,2750,0,0.0,9608.208727272728,9608.208727272728,1.0,0.0
capacity_roro,Strait of Hormuz,2750,344,12.509090909090908,4125.344727272727,3562.838909090909,0.8636463482765253,-562.5058181818181
capacity_roro,Korea Strait,2750,3,0.1090909090909091,14297.135272727273,14295.005454545455,0.9998510318227259,-2.1298181818183366
capacity_roro,Bohai Strait,2750,2,0.07272727272727272,4838.911636363637,4834.2378181818185,0.9990341178899207,-4.673818181818206
capacity_roro,Cape of Good Hope,2750,1,0.03636363636363636,7354.483636363636,7354.483272727272,0.9999999505558267,-0.00036363636354508344
capacity_roro,Gibraltar Strait,2750,1,0.03636363636363636,13245.135272727273,13244.625454545454,0.999961509024157,-0.5098181818193552
capacity_roro,Luzon Strait,2750,1,0.03636363636363636,5245.514181818182,5241.523636363637,0.9992392460841347,-3.9905454545450993
capacity_roro,Magellan Strait,2750,1,0.03636363636363636,513.8523636363636,513.724,0.9997501935469262,-0.12836363636358783
capacity_roro,Malacca Strait,2750,1,0.03636363636363636,17413.012,17409.289454545455,0.9997862204738305,-3.7225454545441607
capacity_roro,Oresund Strait,2750,1,0.03636363636363636,2657.8869090909093,2657.4363636363637,0.999830487349554,-0.4505454545455905
capacity_roro,Taiwan Strait,2750,1,0.03636363636363636,14502.552,14495.08109090909,0.9994848555557043,-7.470909090909117
capacity_roro,Tsugaru Strait,2750,1,0.03636363636363636,5299.527636363637,5299.527272727273,0.9999999313832499,-0.00036363636354508344
capacity_roro,Bab el-Mandeb Strait,2750,0,0.0,8594.905454545455,8594.905454545455,1.0,0.0
capacity_roro,Balabac Strait,2750,0,0.0,54.88290909090909,54.88290909090909,1.0,0.0
capacity_roro,Bering Strait,2750,0,0.0,14.776,14.776,1.0,0.0
capacity_roro,Bosporus Strait,2750,0,0.0,505.92,505.92,1.0,0.0
capacity_roro,Dover Strait,2750,0,0.0,24731.20690909091,24731.20690909091,1.0,0.0
