date,y_true,posterior_median,lower_95,upper_95
2022-07-02,58.0,61.0117871074032,44.53216724838006,77.22040555472698
2022-07-03,63.0,61.00910075529642,44.71487898582512,76.94748641319939
2022-07-04,68.0,60.34131776489558,44.782245907709004,75.51918892598381
2022-07-05,57.0,60.35154926054028,43.501927170280624,76.5994760254236
2022-07-06,57.0,60.536397677527994,44.81315650915356,76.52859653935019
2022-07-07,54.0,60.97457956652074,44.82659545328829,77.48089945464224
2022-07-08,73.0,61.01810011283589,45.30514247607926,77.00733056949343
2022-07-09,53.0,60.352637009641825,44.334667566158735,75.36380084231354
2022-07-10,56.0,59.58076135959086,43.698977158427205,76.19765572689677
2022-07-11,60.0,59.18054506972761,42.62922616080331,75.62650662627193
2022-07-12,48.0,59.70848845234386,43.452729038596495,74.83004021032268
2022-07-13,52.0,60.783863882625084,44.29457433479251,76.30160213661398
2022-07-14,81.0,61.82919192087003,45.99027491481635,76.79908858197312
2022-07-15,72.0,62.11492874600941,46.81499157195319,77.6191027881287
2022-07-16,54.0,61.670727230270316,46.02105827598046,78.26862140475387
2022-07-17,59.0,60.43694917560477,45.46610002320997,76.97188247986918
2022-07-18,66.0,60.91332590430879,44.22004873150031,77.22100907373314
2022-07-19,53.0,60.74247181526546,45.733592526759345,75.44182489180626
2022-07-20,67.0,62.19839093283758,46.7423772694654,77.59224477032124
2022-07-21,67.0,61.72477645818107,44.987839488740796,77.91251219526306
2022-07-22,62.0,62.18059032714826,45.38682054930511,77.54234404787867
2022-07-23,59.0,61.362607755122596,45.41814544557392,77.72043180883774
2022-07-24,60.0,60.43335601526057,43.967556264777286,76.96368605096214
2022-07-25,65.0,59.96095401867019,44.22929604946549,76.52869643586676
2022-07-26,65.0,60.203973585776076,42.99650620057007,76.72792372206605
2022-07-27,61.0,60.01128846080002,42.98604241347043,75.9552752834595
2022-07-28,55.0,60.15422678146219,44.52406245748676,76.67274982314086
2022-07-29,52.0,59.25291551070253,43.88834414250535,75.47103616123468
2022-07-30,62.0,59.572605718045004,43.221603481864264,74.74463711845978
2022-07-31,55.0,58.762164426958996,42.601192725353854,75.00977491959122
2022-08-01,61.0,58.88944606164308,42.77458468157143,75.33125926767306
2022-08-02,48.0,58.50266851908938,42.43348185571645,74.23002275139378
2022-08-03,59.0,59.11701236682407,44.111519632435936,75.61994396931316
2022-08-04,62.0,60.08291415446459,44.140365519923314,77.76795092608614
2022-08-05,66.0,60.79533689585458,44.60328111342323,75.65009928866077
2022-08-06,58.0,60.905729734775434,45.237137446198936,75.78983676540774
2022-08-07,64.0,60.37852571322941,43.84767922388214,77.0062148270736
2022-08-08,53.0,60.28206441050658,44.425712876151465,75.09409122270637
2022-08-09,54.0,60.76793583598152,43.731780924063905,77.64565407447708
2022-08-10,71.0,61.518096703720026,45.763944227437065,78.0039537516998
2022-08-11,65.0,63.005463445735444,47.423154891987906,79.04987929533718
2022-08-12,69.0,62.52525737562746,46.68946206274652,78.51242054352338
2022-08-13,57.0,62.17840157170961,46.11987461188844,78.21143317832596
2022-08-14,54.0,61.635614342388834,45.01727396053376,78.6762133057606
2022-08-15,59.0,61.37981563700994,45.5652073120855,77.34611927323549
2022-08-16,69.0,62.52815478273132,46.47480833795118,79.87366091298111
2022-08-17,72.0,62.90467406166944,47.317815332763,78.6568338270902
2022-08-18,62.0,63.225411542184474,48.84084977101877,79.02018912932115
2022-08-19,71.0,63.778386543184794,47.946084088842156,79.85797038062825
2022-08-20,65.0,62.95582609655392,47.29097073432669,79.48340054446643
2022-08-21,59.0,61.94592940037277,46.04460623647571,78.74405780411091
2022-08-22,48.0,61.539348377564025,45.18747822570294,78.04995665948584
2022-08-23,63.0,61.91617450132941,46.770061746671686,78.2005348681928
2022-08-24,63.0,62.66426809282797,46.603442243131845,79.55258731393107
2022-08-25,71.0,63.58413279367011,47.01641982619268,79.02081577219975
2022-08-26,54.0,62.975592921263136,46.53639061924063,78.94256266085382
2022-08-27,68.0,63.15114572382682,45.892262896350225,78.43092025096561
2022-08-28,71.0,61.930906999346774,45.6929855135713,77.97277966071215
2022-08-29,59.0,61.59062284944016,45.2414863765197,77.38304332370477
2022-08-30,57.0,61.80814586500538,46.33088887657901,76.57224838763646
2022-08-31,61.0,62.187090606089455,46.221109921854186,78.19805640461044
2022-09-01,67.0,62.518848682330415,46.400784855737555,79.01203809132261
2022-09-02,67.0,62.38961437492099,47.81196497797678,78.4614835978153
2022-09-03,61.0,61.95494972143449,46.2172191560815,77.03829327122025
2022-09-04,62.0,60.844813877116025,44.87456734329582,77.86893624672604
2022-09-05,62.0,60.25727820727036,44.11956853931335,75.95839751732235
2022-09-06,54.0,59.94299946305959,43.984580370034244,76.25779961462672
2022-09-07,48.0,60.7857546308853,43.38991507633931,76.85197390870759
2022-09-08,56.0,61.2019205338797,44.69232996530079,76.36208311500465
2022-09-09,57.0,61.43007594589649,44.99948654881944,77.05726813719293
2022-09-10,68.0,61.0908497441799,45.92472885904383,78.4694087848098
