model,target,unit,counterfactual_scenario,counterfactual_sum,observed_sum,dark_rate,false_positive_rate,implied_true_total,true_reduction,reduction_attributable_to_observability
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.3,0.0,755.7142857142858,0.9166629533448025,0.025001113996559243
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.3,0.05,717.9285714285714,0.9208298056775625,0.020834261663799314
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.3,0.1,680.1428571428572,0.9249966580103223,0.016667409331039496
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.3,0.2,604.5714285714287,0.933330362675842,0.008333704665519748
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.4,0.0,881.6666666666667,0.9027734455689362,0.03889062177242553
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.4,0.05,837.5833333333333,0.9076347732904895,0.034029294050872294
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.4,0.1,793.5000000000001,0.9124961010120427,0.02916796632931906
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.4,0.2,705.3333333333335,0.9222187564551491,0.019445310886212708
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.5,0.0,1058.0,0.8833281346827235,0.058335932658638234
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.5,0.05,1005.0999999999999,0.8891617279485874,0.05250233939277438
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.5,0.1,952.2,0.8949953212144512,0.04666874612691052
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.5,0.2,846.4000000000001,0.9066625077461788,0.03500155959518292
ar_lag1_7,hormuz_tanker_transits,transits,conformal_0.80_upper,9068.167352282268,529.0,0.7,0.0,1763.333333333333,0.8055468911378727,0.13611717620348907
