date,fold,step,y_true,y_pred,sigma,lower,upper,model
2024-10-23,fold_23,2,2693132.0,2794475.39537764,652969.5743107835,1514678.5467280536,4074272.2440272258,ar_lag1_7
2024-10-24,fold_23,3,2827709.0,2872729.7100253375,580339.8109011063,1735284.5818643833,4010174.838186291,ar_lag1_7
2024-10-25,fold_23,4,3354368.0,2964603.6516045644,817460.8702108341,1362409.7872205577,4566797.51598857,ar_lag1_7
2024-10-26,fold_23,5,2006622.0,2870846.3975902065,755679.0576669376,1389742.660691842,4351950.13448857,ar_lag1_7
2024-10-27,fold_23,6,2636396.0,2832253.715965275,650313.4748050806,1557662.726686221,4106844.7052443284,ar_lag1_7
2024-10-28,fold_23,7,2404850.0,2764368.3894314263,598554.610027057,1591222.9109979772,3937513.8678648747,ar_lag1_7
2024-10-29,fold_23,8,1174565.0,2836465.3816159535,602802.7281372846,1654993.7446843858,4017937.01854752,ar_lag1_7
2024-10-30,fold_23,9,1729241.0,2852234.509316674,685672.9554282342,1508340.211504197,4196128.80712915,ar_lag1_7
2024-10-31,fold_23,10,2004900.0,2901646.1808226095,620587.7723849848,1685316.4977020982,4117975.8639431195,ar_lag1_7
2024-11-01,fold_23,11,2817869.0,2930942.415711828,854563.0613010228,1256029.5930435285,4605855.238380127,ar_lag1_7
2024-11-02,fold_23,12,2899600.0,2912005.5140581424,743401.3799647624,1454965.5832698317,4369045.444846452,ar_lag1_7
2024-11-03,fold_23,13,3367583.0,2869380.475316487,626611.6507667076,1641244.2075205494,4097516.7431124235,ar_lag1_7
2024-11-04,fold_23,14,2806914.0,2827773.0286608934,688405.8911427291,1478522.275275943,4177023.782045843,ar_lag1_7
2024-11-05,fold_23,15,2993785.0,2825926.094932377,687757.8941457967,1477945.3923235042,4173906.7975412486,ar_lag1_7
2024-11-06,fold_23,16,3479097.0,2856447.2805097294,627614.4231304657,1626345.614996134,4086548.9460233236,ar_lag1_7
2024-11-07,fold_23,17,2905463.0,2902947.3572771447,555536.0056794586,1814116.7940301667,3991777.920524122,ar_lag1_7
2024-11-08,fold_23,18,2508327.0,2928899.427718998,504772.48879886745,1939563.5292865697,3918235.3261514255,ar_lag1_7
2024-11-09,fold_23,19,3297389.0,2914542.049340658,815820.1272513574,1315563.982065113,4513520.116616202,ar_lag1_7
2024-11-10,fold_23,20,2405575.0,2871295.648795226,627697.4749287007,1641031.204748239,4101560.0928422124,ar_lag1_7
2024-11-11,fold_23,21,2785000.0,2831249.4951120424,667692.9779100636,1522595.3056780195,4139903.6845460646,ar_lag1_7
2024-11-12,fold_23,22,2269544.0,2825025.1391178183,587159.088530076,1674214.472403504,3975835.8058321318,ar_lag1_7
2024-11-13,fold_23,23,2283493.0,2856765.80695565,630957.1059780238,1620112.6034491009,4093419.0104621984,ar_lag1_7
2024-11-14,fold_23,24,3047167.0,2902994.927614792,518548.1603455407,1886659.2090880307,3919330.646141552,ar_lag1_7
