period,destination_unit,destination_unit_type,unit_of_measure,measurement_basis,portfolio_js_distance,portfolio_js_zscore,portfolio_js_robust_zscore,pre_empirical_tail_p,pre_empirical_percentile,post_treatment,pre_calibration_months,coverage_note,admissibility_note
2016-04,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.47440994560655597,14.033454558320893,12.460870406118461,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-05,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5223341290053529,16.02422963419737,14.198562943364484,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-06,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5266894092133658,16.205148382763625,14.356481918260764,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-07,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.4837859408256902,14.422934279622893,12.800836489337167,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-08,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5146994925152192,15.707086117917509,13.921737134083724,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-09,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5601613942952477,17.595577784275186,15.57014931034942,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-10,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5269084065270153,16.214245551724634,14.364422585594392,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-11,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5729447694193802,18.126600386599613,16.033664262063322,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2016-12,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5125297565701256,15.616955083137391,13.843064245112219,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2017-01,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5093885184418311,15.486467756495568,13.729165464452201,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2017-02,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.4898962067602682,14.676755299968965,13.022389842197663,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2017-03,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5315161990831015,16.40565368692712,14.531497456151078,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2017-04,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5312686609933904,16.395370931450074,14.522521923118084,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2017-05,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5335825610133931,16.491490555431128,14.606422086074076,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2017-06,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.4614856258128867,13.496577101196822,11.992244913482443,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
2017-07,EU27,aggregate_comparator,MIO_M3,volume_mio_m3,0.5366400262530194,16.61849794841593,14.717283328832805,0.07692307692307693,1.0,False,12,descriptive_anomaly_ok; aggregate_comparator,origin-split Eurostat aggregate comparator; EU27 is not a single importer
