terminal_pair,support_status,pre_sequences,post_sequences,pre_share,post_share,pre_mean_burden,post_mean_burden,terminal_radius_km,cohort
T100000130518 -> T100000130534,common,3,5,0.0031645569620253164,0.006887052341597796,566190517.1812803,566190517.1812803,30,all_retained
T100000130579 -> T100000130312,common,1,1,0.0010548523206751054,0.0013774104683195593,1703443726.4147396,1703443726.4147396,30,all_retained
T100000130579 -> T100000130492,common,1,1,0.0010548523206751054,0.0013774104683195593,739687772.936688,728592456.3426375,30,all_retained
T100000130579 -> T100000130557,common,1,1,0.0010548523206751054,0.0013774104683195593,669760081.7308125,665910885.8587964,30,all_retained
T100000130579 -> T100000130560,common,4,3,0.004219409282700422,0.004132231404958678,681306284.4952174,680326551.5580659,30,all_retained
T100000130579 -> T100000130562,common,1,5,0.0010548523206751054,0.006887052341597796,167953351.35448107,170154119.4067122,30,all_retained
T100000130593 -> T100000130312,common,2,1,0.002109704641350211,0.0013774104683195593,939942866.0986784,883016768.9155273,30,all_retained
T100000130593 -> T100000130320,common,2,2,0.002109704641350211,0.0027548209366391185,768574134.0079565,768574134.0079566,30,all_retained
T100000130593 -> T100000130321,common,4,3,0.004219409282700422,0.004132231404958678,653747916.6567568,622023918.3194388,30,all_retained
T100000130593 -> T100000130427,common,3,5,0.0031645569620253164,0.006887052341597796,139298538.03434598,136037128.71987763,30,all_retained
T100000130593 -> T100000130439,common,2,2,0.002109704641350211,0.0027548209366391185,135486183.06376195,144877982.511452,30,all_retained
T100000130593 -> T100000130447,common,2,1,0.002109704641350211,0.0013774104683195593,223990958.98807895,223990958.98807895,30,all_retained
T100000130593 -> T100000130467,common,1,1,0.0010548523206751054,0.0013774104683195593,969535388.0905194,970141347.708076,30,all_retained
T100000130593 -> T100000130477,common,1,1,0.0010548523206751054,0.0013774104683195593,1075616000.685357,1073134764.2362562,30,all_retained
T100000130594 -> T100000130299,common,15,1,0.015822784810126583,0.0013774104683195593,138243174.02015147,130339255.78548571,30,all_retained
T100000130594 -> T100000130671,common,2,3,0.002109704641350211,0.004132231404958678,36519856.75836092,40004083.37488299,30,all_retained
T100000130212 -> T100000130458,post_only_entry,0,1,0.0,0.0013774104683195593,,893071570.1626447,30,all_retained
T100000130212 -> T100000130466,post_only_entry,0,1,0.0,0.0013774104683195593,,1105079122.647306,30,all_retained
T100000130212 -> T100000130474,post_only_entry,0,1,0.0,0.0013774104683195593,,971428068.625756,30,all_retained
T100000130212 -> T100000130500,post_only_entry,0,1,0.0,0.0013774104683195593,,786853073.8121296,30,all_retained
T100000130212 -> T100000130575,post_only_entry,0,2,0.0,0.0027548209366391185,,258756686.09519732,30,all_retained
