family,model,block_length_days,variant,weighting,n_series,dropped_control,minimum_pre_event_daily_transits,observed_global_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q950,reference_q975,one_sided_bootstrap_p_value,n_joint_resamples,equal_weighted_tanker_global,minimum_detectable_global_statistic,would_flag_a_tanker_sized_movement
non_tanker_negative_controls,ar_lag1_7,28,volume_eligible_controls,equal,7,,5.154110898661568,0.06232014583957122,0.05928661709982644,0.023094739058547073,0.013281247706856382,0.09656500005081291,0.10303139453722789,0.45035496450354967,10000,0.21559239498209762,0.09656500005081291,True
non_tanker_negative_controls,chronos2_univariate,7,full_ten_control_family,equal,10,,0.9644359464627151,0.027215396993565566,-0.15991710476054155,0.18347103869906983,-0.5982745248307445,0.0657725419048282,0.07614133621124715,0.16968303169683033,10000,0.10676419339488812,0.0657725419048282,True
non_tanker_negative_controls,chronos2_univariate,7,full_ten_control_family,inverse_reference_variance,10,,0.9644359464627151,-0.049953615932683805,0.024993018163971596,0.010023447325120982,0.005587629419750042,0.041551953738549266,0.044375969946624495,1.0,10000,0.10676419339488812,0.041551953738549266,True
non_tanker_negative_controls,chronos2_univariate,7,full_ten_control_family,pre_event_volume,10,,0.9644359464627151,-0.06712561239127057,0.008761058739414285,0.02616529798801595,-0.05156921576886846,0.04542404179584502,0.050308373236687624,0.9913008699130087,10000,0.10676419339488812,0.04542404179584502,True
non_tanker_negative_controls,chronos2_univariate,7,leave_one_control_out,equal,9,n_dry_bulk::Cape of Good Hope,0.9644359464627151,0.0474675363993731,-0.18830821607715076,0.20472550408988,-0.6788791279418908,0.064369285676264,0.07516819407400879,0.10128987101289871,10000,0.10676419339488812,0.064369285676264,True
non_tanker_negative_controls,chronos2_univariate,7,leave_one_control_out,equal,9,n_dry_bulk::Gibraltar Strait,0.9644359464627151,0.03315511119329391,-0.17250067090105486,0.20306189077371226,-0.6595169735975352,0.07638080274789906,0.08753109463210137,0.17528247175282471,10000,0.10676419339488812,0.07638080274789906,True
non_tanker_negative_controls,chronos2_univariate,7,leave_one_control_out,equal,9,n_dry_bulk::Malacca Strait,0.9644359464627151,0.03729288808914868,-0.18175454315754147,0.2030669266688888,-0.6689384509800288,0.06794802130388161,0.07870991732387803,0.14438556144385561,10000,0.10676419339488812,0.06794802130388161,True
non_tanker_negative_controls,chronos2_univariate,7,leave_one_control_out,equal,9,n_dry_bulk::Panama Canal,0.9644359464627151,0.03969411977066607,-0.17875305411316703,0.20598094388851115,-0.6719092825666491,0.07434421985276833,0.08549873420261257,0.1541845815418458,10000,0.10676419339488812,0.07434421985276833,True
non_tanker_negative_controls,chronos2_univariate,7,leave_one_control_out,equal,9,n_dry_bulk::Yucatan Channel,0.9644359464627151,0.026241346219014732,-0.17863735114312976,0.20373503053474973,-0.667282861346289,0.07270891979001348,0.08340569058396141,0.1775822417758224,10000,0.10676419339488812,0.07270891979001348,True
non_tanker_negative_controls,chronos2_univariate,7,leave_one_control_out,equal,9,n_roro::Cape of Good Hope,0.9644359464627151,-0.02405782358259921,0.05178009291189033,0.01670995519361318,0.01857146073890883,0.07883600458468754,0.08436725975845168,1.0,10000,0.10676419339488812,0.07883600458468754,True
