hypothesis,model,portname,vessel_class,n_days,pre_event_mean,observed_sum,counterfactual_sum,cumulative_gap,event_statistic,historical_reference_mean,historical_reference_sd,reference_q025,reference_q975,studentized_statistic,raw_resampling_p_value,romano_wolf_p_value,stepdown_rank,family_size,n_joint_resamples,family,status,block_length_days,in_restricted_five,is_treated_anchor,is_context_corridor,volume_eligible
n_tanker::Mindoro Strait,ar_lag1_7,Mindoro Strait,n_tanker,130,3.6390057361376673,524.0,472.45679534144136,51.543204658558594,0.1089545382530885,-0.1270884348645777,0.06448146323639743,-0.24773941083321357,0.002957430684462995,3.6606330140540075,0.00029997000299970003,0.0044995500449955,3,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,False
n_tanker::Cape of Good Hope,ar_lag1_7,Cape of Good Hope,n_tanker,130,12.949521988527724,2618.0,1689.7313649531911,928.2686350468089,0.5514124743928375,0.24796080118839964,0.1052030178999836,0.03908890282257754,0.45072119615557554,2.8844388617532726,0.0007999200079992001,0.0484951504849515,4,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,True,False,False,True
n_tanker::Mona Passage,ar_lag1_7,Mona Passage,n_tanker,130,2.465391969407266,366.0,320.08910066545405,45.91089933454592,0.14324730853925804,0.006768100356436451,0.05714495185044948,-0.10694129982353316,0.11731142878943449,2.3882985944234036,0.008999100089991,0.16678332166783322,5,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,False
n_tanker::Kerch Strait,ar_lag1_7,Kerch Strait,n_tanker,130,6.964053537284895,318.0,841.8949582451032,-523.8949582451032,-0.5786803900478347,-0.825541237500867,0.11313868511585874,-1.0411970100212335,-0.6011666304453599,2.1819313809439853,0.015798420157984203,0.25107489251074894,6,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,True
n_tanker::Lombok Strait,ar_lag1_7,Lombok Strait,n_tanker,130,7.1915869980879545,1045.0,935.0328601428947,109.96713985710528,0.11762370058914515,0.06690932519698616,0.026140523109156318,0.016063687488837956,0.11784917166703078,1.9400673498532675,0.025597440255974404,0.38146185381461856,7,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,True
n_tanker::Tsugaru Strait,ar_lag1_7,Tsugaru Strait,n_tanker,130,12.198087954110898,1660.0,1587.6533247325808,72.34667526741923,0.0456229606448201,0.019373552008408144,0.0393809195756023,-0.05940975541716747,0.09498211313053272,0.6665514396132658,0.253974602539746,0.9857014298570143,8,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,True
n_tanker::Balabac Strait,ar_lag1_7,Balabac Strait,n_tanker,130,3.5124282982791586,444.0,456.1938043632299,-12.193804363229853,-0.026704743025707522,-0.05308758918419966,0.052176651587083595,-0.15591349485575906,0.04631882296769098,0.5056446773794746,0.3103689631036896,0.9922007799220078,9,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,False
n_tanker::Windward Passage,ar_lag1_7,Windward Passage,n_tanker,130,2.0860420650095604,236.0,270.6908890166369,-34.690889016636945,-0.12792311186421151,-0.1544358012671178,0.05855210604358241,-0.26574386319914073,-0.037072637074322956,0.4528050516777648,0.32356764323567644,0.9937006299370063,10,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,False
n_tanker::Sunda Strait,ar_lag1_7,Sunda Strait,n_tanker,130,11.196175908221797,1601.0,1456.9374475077525,144.06255249224762,0.09897785545650647,0.09123994939138785,0.02846114420246176,0.034065334276787755,0.1447981848936846,0.2718761413832873,0.39886011398860116,0.998000199980002,11,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,False,True
n_tanker::Bab el-Mandeb Strait,ar_lag1_7,Bab el-Mandeb Strait,n_tanker,130,17.496749521988527,1833.0,2244.1079716886843,-411.10797168868453,-0.18074037174823054,-0.13035193302504772,0.12421727057020027,-0.3551539802366055,0.12096983444396626,-0.40564760835496105,0.646935306469353,1.0,12,28,10000,all_28_corridors_retrospective,retrospective_disclosure_not_confirmatory,14,False,False,True,True
