model,league,panel,fold,horizon,portname,vessel_class,common_95_coverage,common_width_scaled,n_coverage_days,native_95_coverage
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bosporus Strait,n_general_cargo,0.9923076923076923,4.887096241940468,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bosporus Strait,n_roro,0.9923076923076923,4.278637642172015,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Bosporus Strait,n_tanker,1.0,5.7497143141634055,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Cape of Good Hope,n_container,0.9538461538461539,4.77281096735406,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Cape of Good Hope,n_dry_bulk,0.8692307692307693,5.237429642721663,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Cape of Good Hope,n_general_cargo,0.9692307692307692,3.70088479334559,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Cape of Good Hope,n_roro,1.0,4.289136765748731,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Cape of Good Hope,n_tanker,0.9846153846153847,5.462267972771369,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Dover Strait,n_container,0.9923076923076923,5.373041756300142,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Dover Strait,n_dry_bulk,0.9923076923076923,5.232766306650469,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Dover Strait,n_general_cargo,1.0,4.926439066248545,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Dover Strait,n_roro,0.9615384615384616,6.0295540048492215,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Dover Strait,n_tanker,0.9769230769230769,5.750966097436876,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Gibraltar Strait,n_container,0.9307692307692308,5.373041756300142,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Gibraltar Strait,n_dry_bulk,0.9615384615384616,5.25069037872797,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Gibraltar Strait,n_general_cargo,0.9846153846153847,4.905490443136807,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Gibraltar Strait,n_roro,0.9923076923076923,5.2943965487230615,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Gibraltar Strait,n_tanker,0.9,5.750966097436876,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Kerch Strait,n_container,1.0,3.3722799202583045,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Kerch Strait,n_dry_bulk,1.0,3.771574124240192,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Kerch Strait,n_general_cargo,0.6692307692307692,4.601456490456266,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Kerch Strait,n_roro,1.0,4.0406667084426156,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Kerch Strait,n_tanker,0.9307692307692308,4.9138390684921935,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Korea Strait,n_container,0.8692307692307693,5.373041756300142,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Korea Strait,n_dry_bulk,0.9923076923076923,5.254794581595917,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Korea Strait,n_general_cargo,0.9692307692307692,4.917412113595815,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Korea Strait,n_roro,0.9461538461538461,5.7827503659962245,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Korea Strait,n_tanker,0.9769230769230769,5.750966097436876,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Lombok Strait,n_container,0.9307692307692308,3.261374655787353,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Lombok Strait,n_dry_bulk,0.9846153846153847,5.251557139207972,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Lombok Strait,n_general_cargo,0.9769230769230769,3.629102460352917,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Lombok Strait,n_roro,0.9769230769230769,3.986729374253745,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Lombok Strait,n_tanker,0.9923076923076923,5.231185865847283,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Luzon Strait,n_container,0.9461538461538461,4.717654774037625,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Luzon Strait,n_dry_bulk,0.8923076923076924,5.2163731786262275,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Luzon Strait,n_general_cargo,0.9615384615384616,4.032630428340415,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Luzon Strait,n_roro,0.9846153846153847,4.660840644871483,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Luzon Strait,n_tanker,0.9538461538461539,5.702157947879744,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Magellan Strait,n_container,0.9692307692307692,3.4434890411967713,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Magellan Strait,n_dry_bulk,0.9769230769230769,3.892757214314999,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Magellan Strait,n_general_cargo,0.9461538461538461,3.0940968204100425,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Magellan Strait,n_roro,0.9384615384615385,3.8719352045374507,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Magellan Strait,n_tanker,0.9615384615384616,3.798262019805245,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Makassar Strait,n_container,0.9846153846153847,4.197558729863517,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Makassar Strait,n_dry_bulk,0.9769230769230769,5.258492783268029,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Makassar Strait,n_general_cargo,0.9461538461538461,3.8363221158989815,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Makassar Strait,n_roro,0.9384615384615385,3.896526287940417,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Makassar Strait,n_tanker,0.9923076923076923,5.009851624704561,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Malacca Strait,n_container,0.7692307692307693,5.373041756300142,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Malacca Strait,n_dry_bulk,0.7307692307692307,5.258492783268029,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Malacca Strait,n_general_cargo,0.9153846153846154,4.859911163098006,130,
ar_lag1_7,past_only_forecast,composition_28x5,fold_02,130,Malacca Strait,n_roro,0.9615384615384616,5.3645269372716236,130,
