panel,portname,vessel_class,n_days,adf_t_constant_weekday_lag7,approx_adf_reject_5pct,ar_phi1,ar_phi7,ar17_companion_spectral_radius,near_unit_root_radius_ge_0_995
composition_28x5,Makassar Strait,n_dry_bulk,2615,-9.389485376133583,True,0.24139512448963596,0.18712606933289092,0.826870672923256,False
composition_28x5,Makassar Strait,n_general_cargo,2615,-16.973342682383805,True,-0.013785497167889656,0.004782544094087606,0.4679375903841565,False
composition_28x5,Makassar Strait,n_roro,2615,-18.140096503647367,True,-0.011461988430457426,-7.598995587646395e-05,0.2596199167091349,False
composition_28x5,Makassar Strait,n_tanker,2615,-15.080972587512115,True,-0.032242830355660425,0.041161007058955576,0.6381875325599379,False
composition_28x5,Malacca Strait,n_container,2615,-3.8689752728455686,True,0.3367097191568605,0.44031195869422496,0.9470358498049413,False
composition_28x5,Malacca Strait,n_dry_bulk,2615,-4.465588735956032,True,0.41921712622434054,0.3830497307162977,0.947755711942159,False
composition_28x5,Malacca Strait,n_general_cargo,2615,-6.831882150021451,True,0.27661016940431765,0.29204677498789017,0.8848936283474779,False
composition_28x5,Malacca Strait,n_roro,2615,-11.811574716568478,True,0.18101874351187422,0.12510289873304856,0.7719975338781127,False
composition_28x5,Malacca Strait,n_tanker,2615,-5.527596049342531,True,0.3259281534182867,0.34642008671080354,0.9152533760574243,False
composition_28x5,Mindoro Strait,n_container,2615,-14.062783230381076,True,-0.029248858429090537,0.096827009377898,0.7201911405584333,False
composition_28x5,Mindoro Strait,n_dry_bulk,2615,-7.536562772807017,True,0.37879029556371796,0.2563034642313107,0.8910107224949732,False
composition_28x5,Mindoro Strait,n_general_cargo,2615,-14.575194345348635,True,0.06505002875222386,0.0607659904239351,0.6799487307557958,False
composition_28x5,Mindoro Strait,n_roro,2615,-15.922839067380984,True,-0.014881590982241325,0.02405137837721319,0.5890606315204864,False
composition_28x5,Mindoro Strait,n_tanker,2615,-12.411232340931326,True,0.07632954648532643,0.0901327396514524,0.7205181460589561,False
