model,league,panel,fold,horizon,origin,portname,vessel_class,mask_group,diagnostics,mae,rmse,mase,horizon_bias_mase,cumulative_bias,relative_cumulative_bias,n_days
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_general_cargo,1,,6.233333333333333,7.377894912055425,0.5297367857073275,-0.38243029984218835,-135.0,-0.37604456824512533,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_general_cargo,1,,10.608328838222764,11.941496953237532,0.9015436396502368,0.884672241573534,312.29416879810714,0.8699001916381814,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_roro,1,,0.26666666666666666,0.5163977794943222,0.5821821821821822,0.0,0.0,0.0,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_roro,1,,0.3810036901015159,0.39956804391112544,0.8318008489603665,0.4351011525230878,5.978900293955498,1.4947250734888744,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_tanker,1,,3.0,3.9072582032246945,0.618284904323175,0.02747932908103,4.0,0.030303030303030304,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Kerch Strait,n_tanker,1,,5.470914811085808,5.856950623745023,1.12752801351081,1.0770908175231007,156.78560627837982,1.1877697445331805,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_container,2,,7.166666666666667,8.673715082554494,0.820951180440663,0.16419023608813257,43.0,0.025856885147324114,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_container,2,,6.236522455168502,7.252476426783484,0.7144019262439929,0.0008777059908644824,0.22986359302701942,0.00013822224475467193,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_dry_bulk,2,,6.933333333333334,9.73995208749338,0.8182683982683983,0.4799458874458874,122.0,0.09814963797264682,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_dry_bulk,2,,6.551872831658526,8.59217429440261,0.7732486280220371,0.10136363695753212,25.766162461832096,0.020729012439124776,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_general_cargo,2,,12.933333333333334,18.02590728183559,0.9794815702206712,0.5755716443564769,228.0,0.12773109243697478,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_general_cargo,2,,10.01096455442175,13.430648466100118,0.7581614908135437,-0.2751958556789512,-109.01276272036144,-0.06107157575370389,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_roro,2,,3.1666666666666665,3.763863263545405,1.0318989989541312,0.14120723143582847,13.0,0.05531914893617021,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_roro,2,,2.134816580260152,2.5862080566574566,0.6956573975119366,0.3371853014330351,31.04238270276897,0.13209524554369773,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_tanker,2,,7.966666666666667,9.239408350466315,0.7064422353682585,0.15665873838710334,53.0,0.02823654768247203,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Korea Strait,n_tanker,2,,6.3694500530228195,7.929192412455752,0.564809439354466,0.13080075210616593,44.251855549205004,0.0235758420613772,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_container,3,,0.26666666666666666,0.5163977794943222,0.7896809232858113,0.0,0.0,0.0,30
ar_lag1_7,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_container,3,,0.271022491475032,0.34067699353740305,0.8025798423720907,0.17581551217918945,1.781129638514072,0.445282409628518,30
seasonal_naive_7d,past_only_forecast,composition_28x5,fold_01,30,2023-01-01,Lombok Strait,n_dry_bulk,3,,6.733333333333333,7.99583224769838,1.2522725334697706,-0.7935192291293597,-128.0,-0.14695752009184845,30
